"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"16445","451","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/freshdesk.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16451","448","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/freshsales.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16452","449","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/freshsales.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16457","448","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/front.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16459","449","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/front.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16463","305","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/googlecalendar.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16465","306","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/googlecalendar.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16470","305","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/googlecontacts.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16471","306","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/googlecontacts.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16477","445","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/groove.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16478","446","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/groove.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
